model,AIDA-A precision,AIDA-A recall,AIDA-B precision,AIDA-B recall,AIDA-C precision,AIDA-C recall,
e2e_neural_el,89.62,89.38,83.39,81.52,79.36,56.12,
REL2014,79.02,88.06,78.66,86.8,72.97,70.46,
REL2019,75.4,84.39,76.17,84.46,73.66,73.43,
KnowBert-Wiki,88.99,67.46,84.02,62.5,78.24,41.36,
KnowBert-W+W,89.83,67.67,85.2,61.87,78.42,41.09,
E-BERT,88.25,90.59,83.84,85.84,76.28,58.05,
Feng,88.1,89.19,85.82,87.18,75.03,57.42,
GENRE,89.7,90.48,82.38,83.19,82.18,70.01,
De Cao,88.47,86.14,84.48,86.87,50.91,44.59,
EntQA,84.28,89.5,82.38,86.31,74.71,70.52,
SpEL,98.44,88,96.9,81.63,84.18,32.3,
